site,informant,management,potential_rank
Lopur,LOP5,Conserve in sacred areas,7
Lopur,LOP6,Conserve in sacred areas,4
Lopur,LOP7,Conserve in sacred areas,4
Lopur,LOP8,Conserve in sacred areas,3
Lopur,LOP9,Conserve in sacred areas,3
Lopur,LOP10,Conserve in sacred areas,3
Lopur,LOP11,Conserve in sacred areas,8
Lopur,LOP12,Conserve in sacred areas,7
Lopur,LOP13,Conserve in sacred areas,5
Lopur,LOP14,Conserve in sacred areas,8
Lopur,LOP1,Assess nutrition and toxicity,8
Lopur,LOP2,Assess nutrition and toxicity,7
Lopur,LOP3,Assess nutrition and toxicity,8
Lopur,LOP4,Assess nutrition and toxicity,8
Lopur,LOP5,Assess nutrition and toxicity,7
Lopur,LOP6,Assess nutrition and toxicity,9
Lopur,LOP7,Assess nutrition and toxicity,10
Lopur,LOP8,Assess nutrition and toxicity,7
Lopur,LOP9,Assess nutrition and toxicity,8
Lopur,LOP10,Assess nutrition and toxicity,10
Lopur,LOP11,Assess nutrition and toxicity,9
Lopur,LOP12,Assess nutrition and toxicity,9
Lopur,LOP13,Assess nutrition and toxicity,5
Lopur,LOP14,Assess nutrition and toxicity,9
Lopur,LOP1,"Selection, propagation, processing and marketing",7
Lopur,LOP2,"Selection, propagation, processing and marketing",12
Lopur,LOP3,"Selection, propagation, processing and marketing",11
Lopur,LOP4,"Selection, propagation, processing and marketing",12
Lopur,LOP5,"Selection, propagation, processing and marketing",9
Lopur,LOP6,"Selection, propagation, processing and marketing",10
Lopur,LOP7,"Selection, propagation, processing and marketing",9
Lopur,LOP8,"Selection, propagation, processing and marketing",6
Lopur,LOP9,"Selection, propagation, processing and marketing",7
Lopur,LOP10,"Selection, propagation, processing and marketing",10
Lopur,LOP11,"Selection, propagation, processing and marketing",8
Lopur,LOP12,"Selection, propagation, processing and marketing",12
Lopur,LOP13,"Selection, propagation, processing and marketing",10
Lopur,LOP14,"Selection, propagation, processing and marketing",9
Lopur,LOP1,Mitigate climate change,12
Lopur,LOP2,Mitigate climate change,12
Lopur,LOP3,Mitigate climate change,7
Lopur,LOP4,Mitigate climate change,6
Lopur,LOP5,Mitigate climate change,10
Lopur,LOP6,Mitigate climate change,10
Lopur,LOP7,Mitigate climate change,6
Lopur,LOP8,Mitigate climate change,11
Lopur,LOP9,Mitigate climate change,8
Lopur,LOP10,Mitigate climate change,12
Lopur,LOP11,Mitigate climate change,8
Lopur,LOP12,Mitigate climate change,10
Lopur,LOP13,Mitigate climate change,9
Lopur,LOP14,Mitigate climate change,12
Lopur,LOP1,Others,3
Lopur,LOP2,Others,3
Lopur,LOP3,Others,3
Lopur,LOP4,Others,1
Lopur,LOP5,Others,3
Lopur,LOP6,Others,1
Lopur,LOP7,Others,2
Lopur,LOP8,Others,2
Lopur,LOP9,Others,3
Lopur,LOP10,Others,2
Lopur,LOP11,Others,2
Lopur,LOP12,Others,2
Lopur,LOP13,Others,3
Lopur,LOP14,Others,1
